folder_id,success,returncode,company,site,assessment_date,method,assessor,weak_metadata,started_at,error_tail
11YaEadJ8qXfR1MBpwT4a-vsUnPzrkwm9,True,0,Mersey Seafoods,Merseyseafoods_feedingIQF_REBA_05112026 - dc7c4,2026-05-11,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,,2026-05-27T06:23:14,
1E7hPhaOXRYLDDCWK5zebaRTFDsM4qvw_,True,0,Mersey Seafoods,MerseySeafoods_feedingIQFmachine_05112036 - 1941b,Not specified,RULA (Rapid Upper Limb Assessment),Vergo Ergonomics Team,assessment_date,2026-05-27T06:23:43,
1ghH4OHHP9M5znoCjqBCUVpwpgJ6-pPWM,True,0,Mersey Seafoods,IMG_5509 - ce9a1,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-27T06:24:10,
1jQi0poHPqY-YBxEbW6jDbtvJ4aL9pwYK,True,0,Mersey Seafoods,Merseyseafoods_emptyingscallopbags_05112026 - 8d4dd,2026-05-11,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,,2026-05-27T06:24:41,
13vXbyPCAIV3UpLlH_vEf4gNo3H_dnM7C,True,0,Mersey Seafoods,Merseyseafoods_feedingIQF_REBA_05112026 - dc7c4,2026-05-11,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,,2026-05-27T06:25:16,
1q8mzQ2XT3fjFx7GbcAJ4dKwxRSmhtJNc,True,0,Mersey Seafoods,MerseySeafoods_feedingIQFmachine_05112036 - 1941b,Not specified,RULA (Rapid Upper Limb Assessment),Vergo Ergonomics Team,assessment_date,2026-05-27T06:25:47,
