folder_id,success,returncode,company,site,assessment_date,method,assessor,weak_metadata,started_at,error_tail
10HjkqF0fQ11NfRbZPlgySnP5RTHcyJXz,True,0,Cherubini Group,Sorting and marking paper - 86074,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-22T00:24:31,
1GUzrWHlaT3G9YG0O4xiIiICDXGKvy-mR,True,0,Cameco,Cameco_Vergo_3 - b5ee8,Not specified,RULA (Rapid Upper Limb Assessment),Vergo Ergonomics Team,assessment_date,2026-05-22T00:24:59,
1DXluwujynjRqyAxaFibLcYY8Met114mf,True,0,Shaw Brick,VenRez Lift Assist Counter Top Feed - ae484,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-22T00:25:30,
